user_name,cat_id,preference
Denise,58935988,0
Denise,58708840,1
Denise,58969335,0
Denise,58979432,0
Denise,58875428,1
Denise,58847178,1
Denise,58861703,0
Denise,58809183,1
Denise,58818518,0
Denise,58773403,0
Denise,58977844,0
Denise,58976645,0
Denise,58967773,1
Denise,58813339,0
Denise,58792788,0
Denise,58980554,0
Denise,58781447,1
Denise,58823610,0
Denise,58685371,1
Denise,58892130,1
Denise,58671675,1
Denise,58905228,1
Denise,58797475,1
Denise,58877729,0
Denise,58948753,1
Denise,58972199,1
Denise,58847744,0
Denise,58907507,0
Denise,58956756,0
Denise,58892740,1
Denise,58946842,1
Denise,58742408,1
Matt,58893275,0
Matt,58656130,0
Matt,58713901,0
Matt,58886009,0
Matt,58927772,0
Matt,58855202,0
Matt,58815999,0
Matt,58971198,0
Matt,58738846,0
Matt,58884805,0
Matt,58684654,0
Matt,58716751,0
Matt,58687694,0
Matt,58667628,0
Matt,58954554,0
Matt,58903051,0
Matt,58910379,0
Matt,58863259,0
Matt,58875502,0
Matt,58934530,0
Matt,58742497,0
Matt,58719565,0
Matt,58853805,0
Matt,58970641,0
Matt,58946199,0
Matt,58815972,0
Matt,58887591,0
Matt,58794428,0
Matt,58710022,0
Matt,58755531,0
Matt,58950313,0
Matt,58901403,0
Matt,58958872,0
Matt,58844781,0
Matt,58764257,0
Matt,58976233,0
Matt,58963162,0
Matt,58818535,0
Matt,58820728,0
Matt,58848705,0
Matt,58952694,0
Matt,58931851,0
Matt,58701164,0
Matt,58974189,0
Matt,58963846,0
Matt,58727619,0
Matt,58712015,0
Matt,58685423,0
Matt,58897773,0
Matt,58951666,0
Matt,58979533,0
Matt,58784201,0
Matt,58895111,0
Matt,58733282,0
Matt,58886962,0
Matt,58888999,0
Matt,58976486,0
Matt,58898261,0
Matt,58979831,0
Matt,58701638,0
Matt,58957722,0
Matt,58953164,0
Matt,58875837,0
Matt,58973740,0
Matt,58784913,0
Matt,58761486,0
Matt,58841503,0
Matt,58835939,0
Matt,58901357,0
Matt,58942131,0
Matt,58717831,0
Matt,58754339,0
Matt,58656838,0
Matt,58978275,0
Matt,58964796,0
Matt,58854364,0
Matt,58765130,0
Matt,58957223,0
Matt,58704541,0
Matt,58725463,0
Matt,58910057,0
Matt,58710916,0
Matt,58858666,0
Matt,58688022,0
Matt,58912182,0
Matt,58964429,0
Matt,58847365,0
Matt,58927110,0
Matt,58833286,0
Matt,58968665,0
Matt,58665847,0
Matt,58711456,0
1,58884094,0
1,58836832,0
1,58765400,0
1,58804960,0
1,58750266,1
1,58835134,1
1,58929815,1
1,58866464,1
3,58758998,0
3,58759916,0
3,58891093,0
3,58880596,0
3,58732195,1
3,58869488,0
3,58819778,0
3,58794992,0
3,58750203,0
3,58855354,0
3,58867094,0
3,58979947,0
3,58975992,0
3,58951640,0
3,58657026,0
3,58954925,0
3,58924884,0
3,58738611,0
3,58677510,0
3,58759401,0
3,58962811,0
3,58943640,0
3,58953684,0
3,58917073,0
3,58743604,0
3,58957237,0
3,58936318,0
3,58817309,1
3,58929712,0
3,58944930,0
3,58660057,0
3,58852637,0
3,58779168,0
3,58920269,0
3,58745931,0
3,58798592,0
3,58971901,1
3,58861437,0
3,58675005,0
3,58929047,0
3,58877400,0
3,58951466,0
3,58896656,0
3,58854406,0
3,58848821,0
3,58965856,0
3,58935195,1
3,58913431,0
3,58879180,0
3,58924882,0
3,58890185,0
3,58827791,0
3,58905461,1
